Priority,Issue,Recommended Fix,Effort,Impact
P0,خطأ 500 في API الحوادث — وحدة معطلة بالكامل,فحص اتصال قاعدة البيانات وتشغيل migrations,S,Critical
P0,صفحة TPRM فارغة تناقض بيانات لوحة التحكم (12 مورد),تعبئة بيانات seed أو ربط مع API,S,High
P1,لا يمكن ترتيب أعمدة سجل المخاطر تفاعلياً,إضافة onClick sort handlers لرؤوس الأعمدة,S,High
P1,بطاقات ملخص المخاطر (120/15) غير تفاعلية,تفعيل التصفية عند النقر على البطاقة,S,High
P1,التصدير متاح في سجل المخاطر فقط,إضافة أزرار تصدير PDF/CSV لكل وحدة,S,High
P1,لا يوجد فلتر حسب مستوى الخطورة في السجل,إضافة dropdown للتصفية حسب الخطورة,S,High
P2,لا يوجد مسار تنقل (breadcrumb) في المنصة,إضافة breadcrumb component أسفل الشريط العلوي,S,Medium
P2,اعتماد BIA غير تفاعلي — لا أزرار اعتماد/رفض,إضافة workflow أزرار مباشرة في صفحة BIA,M,High
P2,لا يوجد مؤشر تحميل عند انتظار استجابة API,إضافة loading spinners و skeleton screens,S,Medium
P2,الحقول الإلزامية في النماذج بدون علامة *,إضافة مؤشرات الحقل المطلوب في جميع النماذج,S,Medium
P2,عرض محفظة مونت كارلو فارغ بدون إرشاد واضح,بيانات seed أو رسالة إرشادية أوضح للمستخدم,S,Medium
P2,تعارض عدد مؤشرات صمود (116 مقابل 113),توحيد الرقم في شريط التقدم والتسمية الفرعية,S,Medium
P3,لا توجد صفحة إحاطة تنفيذية مخصصة قابلة للتصدير,إنشاء صفحة CEO View من صفحة واحدة قابلة لـPDF,M,High
P3,مؤشرات التزام NCA غير ظاهرة عند تسجيل حوادث,حساب تلقائي لمتطلبات الإبلاغ التنظيمي,M,High
P3,لا يوجد ربط حوادث بمخاطر مسجلة,إضافة risk linker في نموذج/تفاصيل الحادث,M,High
P3,لا تنبيهات بريد إلكتروني أو SMS للتصعيدات,نظام إشعارات خارجية متكامل,M,High
P3,لا يوجد سجل تدقيق مرئي (Audit Trail),صفحة audit log شاملة تعرض جميع التعديلات,M,Medium
P3,بعض المصطلحات تبقى بالإنجليزية في الوضع العربي,ترجمة RSK codes والمختصرات التقنية,S,Low
P4,لا توجد مقارنة زمنية (Quarter over Quarter),مخططات مقارنة ربعية في لوحة التحكم,L,Medium
P4,أيقونات متشابهة في الشريط الجانبي (BookOpen مكررة),تمييز أيقونات SOP عن أيقونة السجل,S,Low
